id,samples,features,info,class,n_jobs,solver,penalty,dual,tol,C,fit_intercept,intercept_scale,iteration,mutli-class
1,10000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
2,11000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
3,12000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
4,13000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
5,14000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
6,15000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
7,16000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
8,17000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
9,18000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
10,19000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
11,20000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
12,21000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
13,22000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
14,23000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
15,24000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
16,25000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
17,26000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
18,27000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
19,28000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
20,29000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
21,30000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
22,31000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
23,32000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
24,33000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
25,34000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
26,35000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
27,36000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
28,37000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
29,38000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
30,39000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
31,40000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
32,41000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
33,42000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
34,43000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
35,44000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
36,45000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
37,46000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
38,47000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
39,48000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
40,49000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
41,50000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
42,51000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
43,52000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
44,53000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
45,54000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
46,55000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
47,56000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
48,57000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
49,58000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
50,59000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
51,60000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
52,61000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
53,62000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
54,63000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
55,64000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
56,65000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
57,66000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
58,67000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
59,68000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
60,69000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
61,70000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
62,71000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
63,72000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
64,73000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
65,74000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
66,75000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
67,76000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
68,77000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
69,78000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
70,79000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
71,80000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
72,81000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
73,82000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
74,83000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
75,84000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
76,85000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
77,86000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
78,87000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
79,88000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
80,89000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
81,90000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
82,91000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
83,92000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
84,93000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
85,94000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
86,95000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
87,96000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
88,97000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
89,98000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
