size,time,label,result
50000,411907,0,TRUE
55000,448918,0,TRUE
60000,489734,0,TRUE
65000,533962,0,TRUE
70000,575563,0,TRUE
75000,621925,0,TRUE
80000,678511,0,TRUE
85000,700286,0,TRUE
90000,750589,0,TRUE
95000,788628,0,TRUE
100000,830497,0,TRUE
105000,870327,0,TRUE
110000,913206,0,TRUE
115000,960338,0,TRUE
120000,997989,0,TRUE
125000,1041473,0,TRUE
130000,1087443,0,TRUE
135000,1136990,0,TRUE
140000,1178882,0,TRUE
145000,1232740,0,TRUE
150000,1279097,0,TRUE
155000,1335476,0,TRUE
160000,1383343,0,TRUE
165000,1419863,0,TRUE
170000,1486689,0,TRUE
175000,1479305,0,TRUE
180000,1594737,0,TRUE
185000,1614340,0,TRUE
190000,1685914,0,TRUE
195000,1716575,0,TRUE
200000,1795604,0,TRUE
205000,1826327,0,TRUE
210000,1914647,0,TRUE
215000,1952455,0,TRUE
220000,1988106,0,TRUE
225000,2049985,0,TRUE
230000,2110832,0,TRUE
235000,2179449,0,TRUE
240000,2272952,0,TRUE
245000,2318319,0,TRUE
250000,2373537,0,TRUE
255000,2454511,0,TRUE
260000,2499046,0,TRUE
265000,2559557,0,TRUE
270000,2632790,0,TRUE
275000,2667609,0,TRUE
280000,2737871,0,TRUE
285000,2797487,0,TRUE
290000,2853736,0,TRUE
295000,2969650,0,TRUE
300000,2991862,0,TRUE
305000,3067472,0,TRUE
310000,3096835,0,TRUE
315000,3188019,0,TRUE
320000,3232769,0,TRUE
325000,3327263,0,TRUE
330000,3424897,0,TRUE
335000,3551509,0,TRUE
340000,3553544,0,TRUE
345000,3652910,0,TRUE
350000,3636407,0,TRUE
355000,3704390,0,TRUE
360000,3781847,0,TRUE
365000,3866110,0,TRUE
370000,3915776,0,TRUE
375000,4046403,0,TRUE
380000,4085884,0,TRUE
385000,4200037,0,TRUE
390000,4181206,0,TRUE
395000,4300831,0,TRUE
400000,4344519,0,TRUE
405000,4467146,0,TRUE
410000,4455880,0,TRUE
415000,4533604,0,TRUE
420000,4685156,0,TRUE
425000,4663040,0,TRUE
430000,4811389,0,TRUE
435000,4794185,0,TRUE
440000,4966171,0,TRUE
445000,4939989,0,TRUE
450000,5091475,0,TRUE
455000,5075608,0,TRUE
460000,5231633,0,TRUE
465000,5229210,0,TRUE
470000,5267946,0,TRUE
475000,5331119,0,TRUE
480000,5426169,0,TRUE
485000,5466357,0,TRUE
490000,5540364,0,TRUE
495000,5607286,0,TRUE
200000,23497,1,FALSE
220000,25333,1,FALSE
240000,27089,1,FALSE
260000,29053,1,FALSE
280000,34039,1,FALSE
300000,33368,1,FALSE
320000,35294,1,FALSE
340000,41520,1,FALSE
360000,43904,1,FALSE
380000,46349,1,FALSE
400000,48173,1,FALSE
420000,50249,1,FALSE
440000,51991,1,FALSE
460000,53739,1,FALSE
480000,56305,1,FALSE
500000,58030,1,FALSE
520000,59241,1,FALSE
540000,61239,1,FALSE
560000,63281,1,FALSE
580000,65587,1,FALSE
600000,67570,1,FALSE
620000,69368,1,FALSE
640000,71616,1,FALSE
660000,74005,1,FALSE
680000,75713,1,FALSE
700000,78348,1,FALSE
720000,80501,1,FALSE
740000,82253,1,FALSE
760000,84063,1,FALSE
780000,86860,1,FALSE
800000,88853,1,FALSE
820000,91399,1,FALSE
840000,93174,1,FALSE
860000,95444,1,FALSE
880000,96822,1,FALSE
900000,98957,1,FALSE
920000,101148,1,FALSE
940000,103308,1,FALSE
960000,105812,1,FALSE
980000,107953,1,FALSE
1000000,109565,1,FALSE
1020000,111631,1,FALSE
1040000,114241,1,FALSE
1060000,116196,1,FALSE
1080000,118108,1,FALSE
1100000,120058,1,FALSE
1120000,122271,1,FALSE
1140000,124034,1,FALSE
1160000,125966,1,FALSE
1180000,128714,1,FALSE
1200000,130630,1,FALSE
1220000,133020,1,FALSE
1240000,135143,1,FALSE
1260000,136635,1,FALSE
1280000,139681,1,FALSE
1300000,141104,1,FALSE
1320000,185127,1,FALSE
1340000,188752,1,FALSE
1360000,190682,1,FALSE
1380000,193835,1,FALSE
1400000,195765,1,FALSE
1420000,198425,1,FALSE
1440000,200653,1,FALSE
1460000,202408,1,FALSE
1480000,205637,1,FALSE
1500000,208765,1,FALSE
1520000,210378,1,FALSE
1540000,214049,1,FALSE
1560000,215896,1,FALSE
1580000,218638,1,FALSE
1600000,220942,1,FALSE
1620000,223169,1,FALSE
1640000,225765,1,FALSE
1660000,226763,1,FALSE
1680000,228927,1,FALSE
1700000,231145,1,FALSE
1720000,233544,1,FALSE
1740000,235409,1,FALSE
1760000,237169,1,FALSE
1780000,239088,1,FALSE
1800000,241157,1,FALSE
1820000,243473,1,FALSE
1840000,246055,1,FALSE
1860000,247880,1,FALSE
1880000,250100,1,FALSE
1900000,253099,1,FALSE
1920000,255047,1,FALSE
1940000,256943,1,FALSE
1960000,259082,1,FALSE
1980000,261328,1,FALSE
500000,1571962,2,TRUE
550000,1772160,2,TRUE
600000,1903246,2,TRUE
650000,1978492,2,TRUE
700000,2215568,2,TRUE
750000,2318940,2,TRUE
800000,2394451,2,TRUE
850000,2603739,2,TRUE
900000,2713015,2,TRUE
950000,2950056,2,TRUE
1000000,3042833,2,TRUE
1050000,1633865,2,TRUE
1100000,3371146,2,TRUE
1150000,3548423,2,TRUE
1200000,3666663,2,TRUE
1250000,3844613,2,TRUE
1300000,3965150,2,TRUE
1350000,3960255,2,TRUE
1400000,4201720,2,TRUE
1450000,1972331,2,TRUE
1500000,4610105,2,TRUE
1550000,2819232,2,TRUE
1600000,4893758,2,TRUE
1650000,5109370,2,TRUE
1700000,5201668,2,TRUE
