size,time,label,result
1,1081,0,TRUE
101,1069,0,TRUE
201,1174,0,TRUE
301,1226,0,TRUE
401,1202,0,TRUE
501,1254,0,TRUE
601,1343,0,TRUE
701,1353,0,TRUE
801,1392,0,TRUE
901,1517,0,TRUE
1001,1515,0,TRUE
1101,1562,0,TRUE
1201,1664,0,TRUE
1301,1842,0,TRUE
1401,1711,0,TRUE
1501,1740,0,TRUE
1601,1803,0,TRUE
1701,1841,0,TRUE
1801,1896,0,TRUE
1901,1934,0,TRUE
2001,1992,0,TRUE
2101,2031,0,TRUE
2201,2108,0,TRUE
2301,2120,0,TRUE
2401,2181,0,TRUE
2501,2230,0,TRUE
2601,2274,0,TRUE
2701,2349,0,TRUE
2801,2370,0,TRUE
2901,2422,0,TRUE
3001,2498,0,TRUE
3101,2524,0,TRUE
3201,2590,0,TRUE
3301,2623,0,TRUE
3401,2664,0,TRUE
3501,2722,0,TRUE
3601,2811,0,TRUE
3701,2831,0,TRUE
3801,2890,0,TRUE
3901,2961,0,TRUE
4001,3006,0,TRUE
4101,3045,0,TRUE
4201,3121,0,TRUE
4301,3197,0,TRUE
4401,3214,0,TRUE
4501,3287,0,TRUE
4601,3366,0,TRUE
4701,3400,0,TRUE
4801,3426,0,TRUE
4901,3426,0,TRUE
5001,3465,0,TRUE
5101,3499,0,TRUE
5201,3559,0,TRUE
5301,3597,0,TRUE
5401,3646,0,TRUE
5501,3681,0,TRUE
5601,3747,0,TRUE
5701,3791,0,TRUE
5801,3844,0,TRUE
5901,3889,0,TRUE
6001,3930,0,TRUE
6101,3968,0,TRUE
6201,4036,0,TRUE
6301,4063,0,TRUE
6401,4118,0,TRUE
6501,4184,0,TRUE
6601,4204,0,TRUE
6701,4281,0,TRUE
6801,4325,0,TRUE
6901,4348,0,TRUE
7001,4426,0,TRUE
7101,4450,0,TRUE
7201,4506,0,TRUE
7301,4574,0,TRUE
7401,4588,0,TRUE
7501,4636,0,TRUE
7601,4709,0,TRUE
7701,4738,0,TRUE
7801,4771,0,TRUE
7901,4841,0,TRUE
8001,4875,0,TRUE
8101,4924,0,TRUE
8201,4988,0,TRUE
8301,5032,0,TRUE
8401,5071,0,TRUE
8501,5182,0,TRUE
8601,5190,0,TRUE
8701,5204,0,TRUE
8801,5280,0,TRUE
8901,5315,0,TRUE
9001,5369,0,TRUE
9101,5442,0,TRUE
9201,5452,0,TRUE
9301,5501,0,TRUE
9401,5580,0,TRUE
9501,5597,0,TRUE
9601,5665,0,TRUE
9701,5740,0,TRUE
9801,5754,0,TRUE
9901,5786,0,TRUE
10000,5847,0,TRUE
1,1007,1,TRUE
101,1051,1,TRUE
201,1120,1,TRUE
301,1158,1,TRUE
401,1201,1,TRUE
501,1260,1,TRUE
601,1301,1,TRUE
