size,time,label,result
10000,32106350,0,TRUE
15000,32106350,0,TRUE
20000,32106350,0,TRUE
25000,32106350,0,TRUE
30000,32106350,0,TRUE
35000,32106350,0,TRUE
40000,32106350,0,TRUE
45000,32106350,0,TRUE
50000,32106350,0,TRUE
55000,32106350,0,TRUE
60000,32106350,0,TRUE
65000,32106350,0,TRUE
70000,32106350,0,TRUE
75000,32106350,0,TRUE
80000,32106350,0,TRUE
85000,32106350,0,TRUE
90000,32106350,0,TRUE
95000,32106350,0,TRUE
100000,32106350,0,TRUE
10000,92296,1,TRUE
15000,137528,1,TRUE
20000,178143,1,TRUE
25000,246782,1,TRUE
30000,298304,1,TRUE
35000,555997,1,TRUE
40000,366498,1,TRUE
45000,396459,1,TRUE
50000,455563,1,TRUE
55000,565481,1,TRUE
60000,542263,1,TRUE
65000,932437,1,TRUE
70000,627230,1,TRUE
75000,667319,1,TRUE
80000,1096076,1,TRUE
85000,941491,1,TRUE
90000,973157,1,TRUE
95000,856731,1,TRUE
100000,1034068,1,TRUE
10000,294703,2,TRUE
15000,441534,2,TRUE
20000,584071,2,TRUE
25000,730758,2,TRUE
30000,882876,2,TRUE
35000,1031609,2,TRUE
40000,1182705,2,TRUE
45000,1333923,2,TRUE
50000,1487262,2,TRUE
55000,1632446,2,TRUE
60000,1790875,2,TRUE
65000,1948912,2,TRUE
70000,2095797,2,TRUE
75000,2252954,2,TRUE
80000,2398773,2,TRUE
85000,2552268,2,TRUE
90000,2720935,2,TRUE
95000,2864182,2,TRUE
100000,3004803,2,TRUE
10000,32201326,3,TRUE
15000,32201326,3,TRUE
20000,32201326,3,TRUE
25000,32201326,3,TRUE
30000,32201326,3,TRUE
35000,32201326,3,TRUE
40000,32201326,3,TRUE
45000,32201326,3,TRUE
50000,32201326,3,TRUE
55000,32201326,3,TRUE
60000,32201326,3,TRUE
65000,32201326,3,TRUE
70000,32201326,3,TRUE
75000,32201326,3,TRUE
80000,32201326,3,TRUE
85000,32201326,3,TRUE
